paperID,shortTitle,AttributeId,AttributeTitle,ArmTitle,Coder1Text,Coder2Text
34829909,Author1,4788957,Geographical location,Whole Study,0,0
34829909,Author1,4788958,Country of intervention,Whole Study,1,1
34829909,Author1,4788959,Lower-level geographical region,Whole Study,1,1
34829909,Author1,5295657,Attribute of location,Whole Study,0,0
34829909,Author1,4788960,Area social and economic condition,Whole Study,0,0
34829909,Author1,5295658,Low-income area,Whole Study,0,0
34829909,Author1,5295661,High-income area,Whole Study,0,0
34829909,Author1,4788961,Population and resource density,Whole Study,0,0
34829909,Author1,4788962,Rural area,Whole Study,0,0
34829909,Author1,5295662,Suburban area,Whole Study,0,0
34829909,Author1,4788963,Urban area,Whole Study,0,0
34829909,Author1,4788964,Site,Whole Study,0,0
34829909,Author1,4788965,Facility,Whole Study,0,0
34829909,Author1,4788967,Residential facility,Whole Study,0,0
34829909,Author1,4788968,Household residence,Whole Study,0,0
34829909,Author1,4788969,Multiple occupancy residence,Whole Study,0,0
34829909,Author1,4788970,Student residence,Whole Study,0,0
34829909,Author1,4788971,Residential care or assisted living,Whole Study,0,0
34829909,Author1,4788972,Homeless setting,Whole Study,0,0
34829909,Author1,4788973,Temporary residence,Whole Study,0,0
34829909,Author1,4788974,Healthcare facility,Whole Study,0,0
34829909,Author1,4788975,Hospital facility,Whole Study,0,0
34829909,Author1,4789033,Emergency department facility,Whole Study,0,0
34829909,Author1,4789030,Hospital outpatient clinic facility,Whole Study,0,0
34829909,Author1,4788989,Doctor-led primary care facility,Whole Study,0,0
34829909,Author1,4789024,Care home facility,Whole Study,0,0
34829909,Author1,4789025,Hospice facility,Whole Study,0,0
34829909,Author1,4789026,Pharmacy facility,Whole Study,0,0
34829909,Author1,4789028,Rehabilitation facility,Whole Study,0,0
34829909,Author1,4793661,Drug or alcohol rehabilitation facility,Whole Study,0,0
34829909,Author1,4793662,Psychiatric facility,Whole Study,0,0
34829909,Author1,5295663,Community healthcare facility,Whole Study,0,0
34829909,Author1,5372840,Community outpatient clinic facility,Whole Study,0,0
34829909,Author1,5295664,Dentist facility,Whole Study,0,0
34829909,Author1,4789034,Educational facility,Whole Study,0,0
34829909,Author1,4789035,Early years facility,Whole Study,0,0
34829909,Author1,4789036,School facility,Whole Study,1,1
34829909,Author1,4789037,Primary school,Whole Study,0,0
34829909,Author1,4909353,Middle school,Whole Study,0,0
34829909,Author1,4789038,Secondary school,Whole Study,0,0
34829909,Author1,4789039,Vocational facility,Whole Study,0,0
34829909,Author1,4789040,University facility,Whole Study,0,0
34829909,Author1,4789042,Community facility,Whole Study,0,0
34829909,Author1,4789043,Sport and exercise facility,Whole Study,0,0
34829909,Author1,4789044,Social centre/Community hall facility,Whole Study,0,0
34829909,Author1,4789045,Library facility,Whole Study,0,0
34829909,Author1,4789041,Religious facility,Whole Study,0,0
34829909,Author1,4789047,Hospitality and catering facility,Whole Study,0,0
34829909,Author1,4789048,Arts and entertainment facility,Whole Study,0,0
34829909,Author1,4789049,Retail facility,Whole Study,0,0
34829909,Author1,4789050,Research facility,Whole Study,0,0
34829909,Author1,4789051,Office facility,Whole Study,0,0
34829909,Author1,4789053,Criminal justice system facility,Whole Study,0,0
34829909,Author1,5295665,Factory facility,Whole Study,0,0
34829909,Author1,4789056,Military facility,Whole Study,0,0
34829909,Author1,4789058,Transportation,Whole Study,0,0
34829909,Author1,4789059,Public transportation,Whole Study,0,0
34829909,Author1,4789060,Private transportation,Whole Study,0,0
34829909,Author1,4789061,Mobile intervention venue,Whole Study,0,0
34829909,Author1,5295666,Ambulance,Whole Study,0,0
34829909,Author1,4789062,Outdoor environment,Whole Study,0,0
34829909,Author1,4789063,Park,Whole Study,0,0
34829909,Author1,4789064,Forest,Whole Study,0,0
34829909,Author1,4789065,Beach,Whole Study,0,0
34829909,Author1,4945614,Water,Whole Study,0,0
34829909,Author1,4789067,Grassland,Whole Study,0,0
34829909,Author1,4789069,Road,Whole Study,0,0
34829909,Author1,4789070,Path/pavement,Whole Study,0,0
34829909,Author1,4789071,Path/pavement for pedestrians,Whole Study,0,0
34829909,Author1,4789072,Path/pavement for cyclists,Whole Study,0,0
34829910,Author2,4788957,Geographical location,Whole Study,0,0
34829910,Author2,4788958,Country of intervention,Whole Study,0,0
34829910,Author2,4788959,Lower-level geographical region,Whole Study,1,1
34829910,Author2,5295657,Attribute of location,Whole Study,0,0
34829910,Author2,4788960,Area social and economic condition,Whole Study,0,0
34829910,Author2,5295658,Low-income area,Whole Study,0,0
34829910,Author2,5295661,High-income area,Whole Study,0,0
34829910,Author2,4788961,Population and resource density,Whole Study,0,0
34829910,Author2,4788962,Rural area,Whole Study,0,0
34829910,Author2,5295662,Suburban area,Whole Study,0,0
34829910,Author2,4788963,Urban area,Whole Study,0,0
34829910,Author2,4788964,Site,Whole Study,0,0
34829910,Author2,4788965,Facility,Whole Study,0,0
34829910,Author2,4788967,Residential facility,Whole Study,0,0
34829910,Author2,4788968,Household residence,Whole Study,0,0
34829910,Author2,4788969,Multiple occupancy residence,Whole Study,0,0
34829910,Author2,4788970,Student residence,Whole Study,0,0
34829910,Author2,4788971,Residential care or assisted living,Whole Study,0,0
34829910,Author2,4788972,Homeless setting,Whole Study,0,0
34829910,Author2,4788973,Temporary residence,Whole Study,0,0
34829910,Author2,4788974,Healthcare facility,Whole Study,0,0
34829910,Author2,4788975,Hospital facility,Whole Study,0,0
34829910,Author2,4789033,Emergency department facility,Whole Study,0,0
34829910,Author2,4789030,Hospital outpatient clinic facility,Whole Study,0,0
34829910,Author2,4788989,Doctor-led primary care facility,Whole Study,0,0
34829910,Author2,4789024,Care home facility,Whole Study,0,0
34829910,Author2,4789025,Hospice facility,Whole Study,0,0
34829910,Author2,4789026,Pharmacy facility,Whole Study,0,0
34829910,Author2,4789028,Rehabilitation facility,Whole Study,0,0
34829910,Author2,4793661,Drug or alcohol rehabilitation facility,Whole Study,0,0
34829910,Author2,4793662,Psychiatric facility,Whole Study,0,0
34829910,Author2,5295663,Community healthcare facility,Whole Study,0,0
34829910,Author2,5372840,Community outpatient clinic facility,Whole Study,0,0
34829910,Author2,5295664,Dentist facility,Whole Study,0,0
34829910,Author2,4789034,Educational facility,Whole Study,0,0
34829910,Author2,4789035,Early years facility,Whole Study,0,0
34829910,Author2,4789036,School facility,Whole Study,0,1
34829910,Author2,4789037,Primary school,Whole Study,0,0
34829910,Author2,4909353,Middle school,Whole Study,0,0
34829910,Author2,4789038,Secondary school,Whole Study,1,1
34829910,Author2,4789039,Vocational facility,Whole Study,0,0
34829910,Author2,4789040,University facility,Whole Study,0,0
34829910,Author2,4789042,Community facility,Whole Study,0,0
34829910,Author2,4789043,Sport and exercise facility,Whole Study,0,0
34829910,Author2,4789044,Social centre/Community hall facility,Whole Study,0,0
34829910,Author2,4789045,Library facility,Whole Study,0,0
34829910,Author2,4789041,Religious facility,Whole Study,0,0
34829910,Author2,4789047,Hospitality and catering facility,Whole Study,0,0
34829910,Author2,4789048,Arts and entertainment facility,Whole Study,0,0
34829910,Author2,4789049,Retail facility,Whole Study,0,0
34829910,Author2,4789050,Research facility,Whole Study,0,0
34829910,Author2,4789051,Office facility,Whole Study,0,0
34829910,Author2,4789053,Criminal justice system facility,Whole Study,0,0
34829910,Author2,5295665,Factory facility,Whole Study,0,0
34829910,Author2,4789056,Military facility,Whole Study,0,0
34829910,Author2,4789058,Transportation,Whole Study,0,0
34829910,Author2,4789059,Public transportation,Whole Study,0,0
34829910,Author2,4789060,Private transportation,Whole Study,0,0
34829910,Author2,4789061,Mobile intervention venue,Whole Study,0,0
34829910,Author2,5295666,Ambulance,Whole Study,0,0
34829910,Author2,4789062,Outdoor environment,Whole Study,0,0
34829910,Author2,4789063,Park,Whole Study,0,0
34829910,Author2,4789064,Forest,Whole Study,0,0
34829910,Author2,4789065,Beach,Whole Study,0,0
34829910,Author2,4945614,Water,Whole Study,0,0
34829910,Author2,4789067,Grassland,Whole Study,0,0
34829910,Author2,4789069,Road,Whole Study,0,0
34829910,Author2,4789070,Path/pavement,Whole Study,0,0
34829910,Author2,4789071,Path/pavement for pedestrians,Whole Study,0,0
34829910,Author2,4789072,Path/pavement for cyclists,Whole Study,0,0
34829911,Author3,4788957,Geographical location,Whole Study,0,0
34829911,Author3,4788958,Country of intervention,Whole Study,1,0
34829911,Author3,4788959,Lower-level geographical region,Whole Study,1,1
34829911,Author3,5295657,Attribute of location,Whole Study,0,0
